id,survey_year,course_mode,course_level,programme_id,programme,discipline_group_id,broad_discipline_group,discipline,appeared_female,appeared_total,passed_female,passed_total,first_class_passed_female,first_class_passed_total
268,2015,Regular,Post Graduate,124,M.A.-Master of Arts,116,Other Social Science,AIHC,2,2,2,2,2,2
268,2015,Regular,Post Graduate,124,M.A.-Master of Arts,116,Other Social Science,Adwait Vedanta,1,7,1,6,1,6
268,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,116,Other Social Science,AIHC,2,4,2,4,2,4
268,2015,Regular,Diploma,82,Diploma-Diploma,35,Other Foreign Languages,Russian Language,4,9,4,9,4,9
268,2015,Regular,Post Graduate,124,M.A.-Master of Arts,116,Other Social Science,Hindi,8,16,6,12,6,12
268,2015,Regular,M.Phil.,109,M.Phil.-Master of Philosophy,9,Commerce,comerce,18,29,16,27,15,27
268,2015,Regular,Post Graduate,93,M.Com.-Master of Commerce,9,Commerce,Commerce,5,9,5,9,5,9
268,2015,Regular,Under Graduate,12,B.Com.-Bachelor of Commerce,9,Commerce,Comerce,14,49,10,45,8,42
268,2015,Regular,M.Phil.,109,M.Phil.-Master of Philosophy,174,Mathematics,Mathematics,9,23,8,21,7,21
268,2015,Regular,M.Phil.,109,M.Phil.-Master of Philosophy,97,Environmental Science,E S,3,4,2,4,1,3
268,2015,Regular,M.Phil.,109,M.Phil.-Master of Philosophy,117,Social Work,MSW,37,60,32,55,32,55
268,2015,Regular,Under Graduate,68,B.P.Ed.-Bachelor of Physical Education,82,Physical Education,B.P.Ed.,8,49,5,36,5,36
173,2015,Regular,Post Graduate,124,M.A.-Master of Arts,112,Political Science,"Master of Arts (Diplomacy, Law & Business)",14,65,11,42,10,40
173,2015,Regular,Integrated,177,"B.B.A. L.L.B.-Bachelor of Business Administration, Bachelor of Law or Laws",52,Law,BBA - LLB (Hons.),0,0,0,0,0,0
173,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,112,Political Science,Public Policy,0,0,0,0,0,0
173,2015,Regular,Post Graduate,124,M.A.-Master of Arts,112,Political Science,Master of Arts (Public Policy),6,14,6,13,4,10
103,2015,Regular,PG Diploma,155,PG Diploma-Post Graduate Diploma,52,Law,Intellectual Property Rights Law,16,35,12,20,4,10
103,2015,Regular,PG Diploma,155,PG Diploma-Post Graduate Diploma,52,Law,Cyber Law,10,38,6,11,3,6
580,2015,Regular,Post Graduate,124,M.A.-Master of Arts,40,Bengali,Bengali,15,28,15,27,15,24
580,2015,Regular,Under Graduate,176,B.A.(Hons)-Bachelor of Arts (Honors),40,Bengali,Bengali,18,29,18,29,18,29
580,2015,Regular,Under Graduate,176,B.A.(Hons)-Bachelor of Arts (Honors),112,Political Science,Political Sc,8,23,8,23,8,17
580,2015,Regular,Under Graduate,176,B.A.(Hons)-Bachelor of Arts (Honors),31,English,English,21,28,21,27,15,20
580,2015,Regular,Post Graduate,124,M.A.-Master of Arts,41,Hindi,Hindi,17,22,17,22,12,16
580,2015,Regular,Post Graduate,124,M.A.-Master of Arts,119,Philosophy,Philosophy,20,23,20,23,0,7
580,2015,Regular,Under Graduate,176,B.A.(Hons)-Bachelor of Arts (Honors),119,Philosophy,Philosophy,13,22,13,14,0,5
580,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,104,Physics,Physics,6,29,6,27,5,21
580,2015,Regular,Under Graduate,180,B.Sc.(Hons)-Bachelor of Science (Honors),107,Other Science,Geography,11,20,11,16,7,11
580,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,177,Statistics,Statistics,12,19,12,17,12,16
580,2015,Regular,Under Graduate,180,B.Sc.(Hons)-Bachelor of Science (Honors),107,Other Science,Economics,19,38,19,35,18,33
580,2015,Regular,Under Graduate,180,B.Sc.(Hons)-Bachelor of Science (Honors),94,Chemistry,Chemistry,9,27,9,25,9,19
